CandidateID,Source,JobRole,ExperienceYears,ScreeningScore,InterviewRounds,OfferStatus,JoinedStatus,SalaryExpected,SalaryOffered,ApplicationDate,CostPerSource
C100000,Naukri,HR Executive,1.6,71,2,Rejected,Did Not Join,1717397,525877,2023-10-18,3409
C100001,Agency,Product Analyst,3.6,85,2,Rejected,Did Not Join,440475,817534,2023-11-25,972
C100002,Indeed,Sales Executive,0.3,78,1,Offered,Did Not Join,642170,996022,2023-08-11,1305
C100003,LinkedIn,Product Analyst,0.3,72,3,Rejected,Did Not Join,1453755,557735,2023-04-16,13367
C100004,Naukri,Product Analyst,1.6,11,2,Offered,Did Not Join,747267,376508,2024-10-23,10613
C100005,Naukri,HR Executive,5.9,63,1,Rejected,Did Not Join,1260068,1194898,2023-07-26,4085
C100006,Naukri,Marketing Associate,1.1,25,3,Offered,Did Not Join,577525,450829,2023-08-29,15785
C100007,Campus,Frontend Developer,0.8,64,2,Offered,Joined,426898,694109,2023-01-15,11899
C100008,Indeed,HR Executive,1.9,52,3,Offered,Did Not Join,837072,1587472,2024-05-19,658
C100009,Indeed,Backend Developer,5.3,70,2,Offered,Did Not Join,818545,199067,2024-03-12,9727
C100010,Naukri,HR Executive,3.6,47,2,Rejected,Joined,1477027,282034,2024-02-09,11800
C100011,Agency,Backend Developer,10.8,54,3,Offered,Joined,669334,874756,2023-08-24,16014
C100012,Referral,Product Analyst,0.0,60,2,Rejected,Did Not Join,1534129,693045,2024-04-15,6208
C100013,Naukri,Sales Executive,0.2,51,2,Offered,Did Not Join,578587,815474,2023-05-17,4423
C100014,Naukri,HR Executive,1.9,33,1,Rejected,Did Not Join,1706954,218211,2024-06-28,11651
C100015,Naukri,Backend Developer,3.4,39,3,Rejected,Joined,1452217,1197348,2023-12-25,1731
C100016,Naukri,HR Executive,0.7,46,1,Rejected,Did Not Join,1928013,538660,2024-05-27,6028
C100017,LinkedIn,Sales Executive,0.5,62,3,Rejected,Did Not Join,260428,384696,2023-06-10,12915
C100018,LinkedIn,Product Analyst,3.1,72,2,Rejected,Did Not Join,1275031,482871,2023-07-07,17584
C100019,Naukri,HR Executive,0.1,20,2,Rejected,Did Not Join,1144889,718752,2024-06-25,9295
C100020,Indeed,Business Analyst,0.9,87,3,Rejected,Did Not Join,276699,1147281,2023-08-22,11174
C100021,Naukri,Backend Developer,1.4,32,1,Rejected,Did Not Join,1301789,1339451,2024-08-13,3454
C100022,Naukri,Sales Executive,1.6,89,2,Rejected,Joined,1888747,850766,2024-05-28,2211
C100023,Naukri,Backend Developer,2.6,59,3,Offered,Did Not Join,1651496,693876,2024-06-26,14937
C100024,LinkedIn,Backend Developer,0.9,94,3,Rejected,Joined,1424510,244086,2023-01-24,8364
C100025,Referral,Data Analyst,1.9,64,2,Offered,Did Not Join,1499814,184858,2024-09-05,2079
C100026,Naukri,Sales Executive,1.8,64,2,Rejected,Did Not Join,1018281,1426021,2023-06-27,13468
C100027,LinkedIn,HR Executive,1.6,13,3,Rejected,Joined,534012,704145,2024-02-02,15167
C100028,LinkedIn,Backend Developer,2.0,63,3,Rejected,Did Not Join,584986,1165055,2024-11-18,18929
C100029,Naukri,Marketing Associate,0.6,70,3,Rejected,Joined,1647440,437031,2023-05-06,12994
C100030,Indeed,Data Analyst,0.2,87,2,Rejected,Joined,1018225,1741636,2023-08-13,1518
C100031,Naukri,Business Analyst,0.3,92,4,Rejected,Did Not Join,285240,1226101,2024-10-30,7630
C100032,Naukri,Backend Developer,0.5,14,2,Rejected,Did Not Join,808665,434023,2023-08-18,3800
C100033,Agency,Product Analyst,1.4,27,1,Offered,Did Not Join,1997510,1289372,2024-07-22,6093
C100034,Agency,Backend Developer,3.7,53,2,Rejected,Did Not Join,465594,507653,2023-12-28,8862
C100035,Referral,Data Analyst,2.4,40,1,Rejected,Did Not Join,208418,490537,2023-09-12,9661
C100036,Naukri,HR Executive,3.1,30,1,Offered,Did Not Join,641934,1629026,2023-07-25,11221
C100037,Naukri,Marketing Associate,0.9,56,1,Rejected,Did Not Join,1807439,905644,2024-07-06,12565
C100038,Indeed,Product Analyst,1.0,39,1,Rejected,Did Not Join,966164,638815,2024-08-19,18042
C100039,LinkedIn,Business Analyst,1.0,64,2,Rejected,Did Not Join,1903440,352061,2023-07-05,13220
C100040,Naukri,Product Analyst,0.4,77,1,Rejected,Did Not Join,1607980,495948,2023-04-28,5753
C100041,LinkedIn,Backend Developer,0.1,78,1,Rejected,Joined,1100441,1546661,2023-07-02,12225
C100042,Naukri,HR Executive,1.8,50,1,Offered,Did Not Join,1806050,1493045,2024-08-03,19141
C100043,Campus,Sales Executive,9.1,54,1,Rejected,Did Not Join,1494074,1021948,2024-08-02,3407
C100044,Naukri,Marketing Associate,0.4,83,1,Offered,Did Not Join,1275027,1356768,2023-05-22,7942
C100045,Indeed,Sales Executive,0.1,89,2,Offered,Did Not Join,203155,1511869,2024-08-16,8297
C100046,Naukri,Marketing Associate,3.0,39,4,Offered,Joined,1650902,1493599,2023-02-09,8533
C100047,LinkedIn,Business Analyst,0.6,86,3,Offered,Did Not Join,1206788,788989,2023-10-15,13579
C100048,LinkedIn,Frontend Developer,3.5,94,3,Offered,Did Not Join,1015880,1175353,2024-08-26,18091
C100049,Naukri,Marketing Associate,2.4,54,1,Offered,Did Not Join,328529,1705857,2023-06-27,14609
C100050,Agency,Frontend Developer,5.8,54,1,Offered,Did Not Join,1639964,262195,2023-01-24,6056
C100051,Referral,Sales Executive,1.1,88,1,Rejected,Joined,1215626,440987,2023-02-28,12255
C100052,Agency,Marketing Associate,2.2,93,3,Offered,Did Not Join,1465386,197650,2023-11-04,9285
C100053,Campus,Business Analyst,1.3,93,1,Rejected,Did Not Join,1293807,1093285,2023-02-14,12008
C100054,LinkedIn,Data Analyst,2.0,54,2,Rejected,Did Not Join,1808263,966346,2024-03-30,5453
C100055,Agency,Business Analyst,1.2,64,1,Rejected,Joined,613274,514256,2024-02-18,8552
C100056,Naukri,Business Analyst,0.4,68,1,Offered,Joined,455297,479016,2023-11-21,7417
C100057,Naukri,Data Analyst,1.4,14,4,Rejected,Did Not Join,1974102,1731231,2024-11-22,9782
C100058,Naukri,Data Analyst,1.5,41,3,Rejected,Did Not Join,534548,1604228,2023-06-09,7054
C100059,Naukri,HR Executive,3.3,15,3,Offered,Joined,959177,1747652,2024-07-09,3547
C100060,LinkedIn,Marketing Associate,2.7,35,2,Rejected,Joined,693349,1165359,2023-11-08,1645
C100061,Naukri,Sales Executive,2.2,46,3,Rejected,Did Not Join,1455039,276003,2023-09-06,824
C100062,Referral,HR Executive,0.2,22,2,Rejected,Did Not Join,1559418,1606259,2024-01-30,12875
C100063,Naukri,Data Analyst,2.6,78,3,Rejected,Joined,507523,797599,2023-09-20,4513
C100064,Naukri,Frontend Developer,1.4,34,1,Rejected,Did Not Join,421268,1545740,2024-03-18,9981
C100065,LinkedIn,Sales Executive,4.5,22,2,Offered,Did Not Join,1083707,1435440,2023-06-26,5697
C100066,Naukri,Frontend Developer,5.0,97,2,Offered,Did Not Join,859172,1400136,2023-12-25,10656
C100067,Referral,Business Analyst,0.1,29,2,Rejected,Did Not Join,610486,1321036,2024-12-26,16746
C100068,Naukri,Backend Developer,3.4,81,3,Rejected,Did Not Join,1010410,411183,2024-08-05,12512
C100069,Internshala,Business Analyst,0.1,69,4,Offered,Did Not Join,1260107,224819,2023-05-27,6565
C100070,Referral,Business Analyst,0.9,82,2,Rejected,Did Not Join,1015215,636457,2024-05-10,4834
C100071,Naukri,Backend Developer,1.6,30,2,Offered,Did Not Join,1439667,1611739,2023-01-26,10721
C100072,Naukri,Marketing Associate,0.3,70,2,Rejected,Did Not Join,531827,906959,2024-05-22,10990
C100073,Referral,Data Analyst,2.7,93,3,Rejected,Joined,611731,944054,2023-09-25,18627
